myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
FrontierWeekday40,40,Frontier,1 of 3,45,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=45,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=45.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday41,41,Frontier,1 of 3,48,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=48,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=48.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday42,42,Frontier,1 of 1,51,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=51,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=51.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday43,43,Frontier,1 of 3,52,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=52,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=52.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday56,56,Frontier,1 of 2,55,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=55,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=55.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday57,57,Frontier,1 of 4,57,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=57,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=57.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday58,58,Frontier,1 of 3,61,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=61,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=61.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday59,59,Frontier,1 of 3,64,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=64,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=64.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday60,60,Frontier,1 of 2,67,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=67,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=67.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday76,76,Frontier,1 of 2,69,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=69,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=69.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
