myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
FrontierWeekday41,41,Frontier,1 of 2,54,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=54,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=54.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday42,42,Frontier,1 of 2,56,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=56,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=56.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday43,43,Frontier,1 of 3,58,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=58,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=58.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday56,56,Frontier,1 of 3,61,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=61,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=61.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday57,57,Frontier,1 of 3,64,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=64,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=64.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday58,58,Frontier,1 of 3,67,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=67,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=67.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday76,76,Frontier,1 of 2,70,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=70,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=70.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday77,77,Frontier,1 of 2,72,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=72,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=72.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday78,78,Frontier,1 of 3,74,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=74,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=74.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday79,79,Frontier,1 of 3,77,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=77,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=77.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday80,80,Frontier,1 of 3,80,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=80,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=80.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday80,80,Frontier,1 of 3,80,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=80,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=80.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
