myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
MidvaleWeekday1,1,Midvale,1 of 2,1,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles.pdf#page=1,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles#page=1.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/trip-sheets/weekday-trip-sheets.pdf
MidvaleWeekday2,2,Midvale,1 of 2,3,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles.pdf#page=3,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles#page=3.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/trip-sheets/weekday-trip-sheets.pdf
MidvaleWeekday3,3,Midvale,1 of 4,5,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles.pdf#page=5,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles#page=5.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/trip-sheets/weekday-trip-sheets.pdf
MidvaleWeekday4,4,Midvale,1 of 2,9,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles.pdf#page=9,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles#page=9.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/trip-sheets/weekday-trip-sheets.pdf
MidvaleWeekday5,5,Midvale,1 of 2,11,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles.pdf#page=11,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles#page=11.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/trip-sheets/weekday-trip-sheets.pdf
MidvaleWeekday6,6,Midvale,1 of 2,13,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles.pdf#page=13,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles#page=13.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/trip-sheets/weekday-trip-sheets.pdf
MidvaleWeekday7,7,Midvale,1 of 2,15,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles.pdf#page=15,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles#page=15.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/trip-sheets/weekday-trip-sheets.pdf
MidvaleWeekday8,8,Midvale,1 of 2,17,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles.pdf#page=17,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles#page=17.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/trip-sheets/weekday-trip-sheets.pdf
MidvaleWeekday9,9,Midvale,1 of 2,19,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles.pdf#page=19,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles#page=19.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/trip-sheets/weekday-trip-sheets.pdf
MidvaleWeekday10,10,Midvale,1 of 2,21,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles.pdf#page=21,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles#page=21.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/trip-sheets/weekday-trip-sheets.pdf
MidvaleWeekday11,11,Midvale,1 of 2,23,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles.pdf#page=23,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles#page=23.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/trip-sheets/weekday-trip-sheets.pdf
MidvaleWeekday12,12,Midvale,1 of 2,25,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles.pdf#page=25,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/paddles/weekday-paddles#page=25.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/midvale/trip-sheets/weekday-trip-sheets.pdf
