myid,runno,depot,page_1,page,day,Paddle,Paddle PC,Trip Sheet
SouthernSunday855,855,Southern,1 of 2,198,Sunday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page198.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page=198.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/sunday-trip-sheets.pdf
SouthernSunday856,856,Southern,1 of 2,200,Sunday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page200.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page=200.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/sunday-trip-sheets.pdf
SouthernSunday857,857,Southern,1 of 2,202,Sunday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page202.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page=202.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/sunday-trip-sheets.pdf
SouthernSunday858,858,Southern,1 of 2,204,Sunday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page204.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page=204.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/sunday-trip-sheets.pdf
SouthernSunday901,901,Southern,1 of 2,206,Sunday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page206.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page=206.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/sunday-trip-sheets.pdf
SouthernSunday902,902,Southern,1 of 2,208,Sunday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page208.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page=208.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/sunday-trip-sheets.pdf
SouthernSunday903,903,Southern,1 of 2,210,Sunday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page210.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page=210.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/sunday-trip-sheets.pdf
SouthernSunday904,904,Southern,1 of 2,212,Sunday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page212.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page=212.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/sunday-trip-sheets.pdf
SouthernSunday905,905,Southern,1 of 2,214,Sunday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page214.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page=214.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/sunday-trip-sheets.pdf
SouthernSunday906,906,Southern,1 of 2,216,Sunday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page216.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page=216.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/sunday-trip-sheets.pdf
SouthernSunday907,907,Southern,1 of 2,218,Sunday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page218.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page=218.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/sunday-trip-sheets.pdf
SouthernSunday951,951,Southern,1 of 2,220,Sunday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page220.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page=220.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/sunday-trip-sheets.pdf
SouthernSunday952,952,Southern,1 of 2,222,Sunday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page222.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page=222.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/sunday-trip-sheets.pdf
SouthernSunday953,953,Southern,1 of 2,224,Sunday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page224.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page=224.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/sunday-trip-sheets.pdf
SouthernSunday954,954,Southern,1 of 2,226,Sunday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page226.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/sunday-paddles#page=226.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/sunday-trip-sheets.pdf
