myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
ElmwoodWeekday301,301,Elmwood,1 of 4,42,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=42,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=42.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday302,302,Elmwood,1 of 4,46,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=46,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=46.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday303,303,Elmwood,1 of 4,50,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=50,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=50.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday304,304,Elmwood,1 of 2,54,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=54,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=54.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday305,305,Elmwood,1 of 2,56,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=56,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=56.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday306,306,Elmwood,1 of 2,58,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=58,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=58.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday307,307,Elmwood,1 of 2,60,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=60,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=60.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday308,308,Elmwood,1 of 2,62,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=62,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=62.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday309,309,Elmwood,1 of 2,64,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=64,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=64.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday310,310,Elmwood,1 of 2,66,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=66,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=66.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday311,311,Elmwood,1 of 2,68,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=68,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=68.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday312,312,Elmwood,1 of 2,70,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=70,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=70.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday313,313,Elmwood,1 of 2,72,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=72,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=72.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday314,314,Elmwood,1 of 2,74,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=74,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=74.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday315,315,Elmwood,1 of 2,76,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=76,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=76.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday316,316,Elmwood,1 of 2,78,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=78,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=78.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday317,317,Elmwood,1 of 2,80,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=80,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=80.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday318,318,Elmwood,1 of 2,82,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=82,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=82.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday319,319,Elmwood,1 of 2,84,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=84,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=84.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday320,320,Elmwood,1 of 4,86,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=86,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=86.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday321,321,Elmwood,1 of 4,90,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=90,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=90.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday322,322,Elmwood,1 of 4,94,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=94,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=94.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday351,351,Elmwood,1 of 2,98,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=98,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=98.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
